EVENT_ID,ORIGIN_TIME,STATION,NETWORK,ELON,ELAT,EDEP,PTIME,PSTIME,SLON,SLAT
70083,2009-11-22 18:30:43.175,A01,YL,-176.9616,-21.3738,432.13,2009-11-22 18:31:36.417000,2009-11-22 18:31:44.827000,-175.623505,-21.533899
47726,2009-11-25 16:42:20.932,A01,YL,-177.1675,-20.3089,538.81,2009-11-25 16:43:27.117000,2009-11-25 16:43:36.817000,-175.623505,-21.533899
81205,2009-11-25 19:27:46.879,A01,YL,-177.2498,-18.7738,588.46,2009-11-25 19:29:03.947000,2009-11-25 19:29:16.947000,-175.623505,-21.533899
19375,2009-11-30 00:47:37.682,A01,YL,-178.5479,-22.8522,608.55,2009-11-30 00:48:54.582000,2009-11-30 00:49:05.462000,-175.623505,-21.533899
12430,2009-11-30 01:13:19.314,A01,YL,-176.1479,-21.6944,185.84,2009-11-30 01:13:44.092000,2009-11-30 01:13:56.242000,-175.623505,-21.533899
18851,2009-11-30 13:30:37.186,A01,YL,-177.7229,-19.893,568.17,2009-11-30 13:31:48.862000,2009-11-30 13:31:59.232000,-175.623505,-21.533899
